command,type,verification_status,source
:AREGENERATOR:FRONTEND:QAT,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=137, AREG_UserManual_en_08.pdf#page=139, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=480, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=581"
:AREGENERATOR:FRONTEND:TRX,action,extracted,"AREG_UserManual_en_08.pdf#page=127, AREG_UserManual_en_08.pdf#page=128, AREG_UserManual_en_08.pdf#page=129, AREG_UserManual_en_08.pdf#page=130, AREG_UserManual_en_08.pdf#page=131, AREG_UserManual_en_08.pdf#page=132, AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=140, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=477, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=482, AREG_UserManual_en_08.pdf#page=483, AREG_UserManual_en_08.pdf#page=484, AREG_UserManual_en_08.pdf#page=485, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=488, AREG_UserManual_en_08.pdf#page=489, AREG_UserManual_en_08.pdf#page=490, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=581"
:AREGENERATOR:HIL:RATE?,query,extracted,"AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=581"
:AREGENERATOR:HIL:RECEIVED,action,extracted,"AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=581"
:AREGENERATOR:LAST:SENSOR?,query,extracted,"AREG_UserManual_en_08.pdf#page=156, AREG_UserManual_en_08.pdf#page=466, AREG_UserManual_en_08.pdf#page=581"
:AREGENERATOR:MAPPING,action,extracted,"AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=167, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=473, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=581"
:AREGENERATOR:MARKER:OBJECT:DELAY,action,extracted,"AREG_UserManual_en_08.pdf#page=192, AREG_UserManual_en_08.pdf#page=509, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:MARKER:OBJECT:ONTIME,action,extracted,"AREG_UserManual_en_08.pdf#page=192, AREG_UserManual_en_08.pdf#page=509, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:MARKER:OBJECT:SOURCE,action,extracted,"AREG_UserManual_en_08.pdf#page=193, AREG_UserManual_en_08.pdf#page=509, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:MEASUREMENT:KEEPSETTINGS,action,extracted,"AREG_UserManual_en_08.pdf#page=122, AREG_UserManual_en_08.pdf#page=466, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OBJECT,action,extracted,"AREG_UserManual_en_08.pdf#page=105, AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=107, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OBJECT:ALL,action,extracted,"AREG_UserManual_en_08.pdf#page=105, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OBJECTS:INVALID:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=119, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OBJECTS:INVALID?,query,extracted,"AREG_UserManual_en_08.pdf#page=119, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OBJECTS:VALID,action,extracted,"AREG_UserManual_en_08.pdf#page=119, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OBJECTS:VALID:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=119, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OMONITORING,action,extracted,"AREG_UserManual_en_08.pdf#page=120, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OMONITORING:HOSTNAME,action,extracted,"AREG_UserManual_en_08.pdf#page=120, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OMONITORING:PORT,action,extracted,"AREG_UserManual_en_08.pdf#page=120, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:APPLY,action,extracted,"AREG_UserManual_en_08.pdf#page=189, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:BW,action,extracted,"AREG_UserManual_en_08.pdf#page=196, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=505, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:BW:APPLY,action,extracted,"AREG_UserManual_en_08.pdf#page=196, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:CONFIG,action,extracted,"AREG_UserManual_en_08.pdf#page=196, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=505, AREG_UserManual_en_08.pdf#page=577"
:AREGENERATOR:OSETUP:HIL:UPD,action,extracted,"AREG_UserManual_en_08.pdf#page=191, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=509, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:HOSTNAME,action,extracted,"AREG_UserManual_en_08.pdf#page=188, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=508, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:IPADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=188, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=508, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=188, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:MULTIINSTRUMENT,action,extracted,AREG_UserManual_en_08.pdf#page=511
:AREGENERATOR:OSETUP:MULTIINSTRUMENT:CONNECT,action,extracted,"AREG_UserManual_en_08.pdf#page=195, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=511, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:MULTIINSTRUMENT:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=194, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=511, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:MULTIINSTRUMENT:SECONDARY,action,extracted,"AREG_UserManual_en_08.pdf#page=194, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=512, AREG_UserManual_en_08.pdf#page=513, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:MULTIINSTRUMENT:SECONDARY:ADD,action,extracted,"AREG_UserManual_en_08.pdf#page=195, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=511, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:PORT,action,extracted,"AREG_UserManual_en_08.pdf#page=189, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=508, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:PROTOCOL,action,extracted,"AREG_UserManual_en_08.pdf#page=188, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=508, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:REFERENCE,action,extracted,"AREG_UserManual_en_08.pdf#page=190, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:SOURCE,action,extracted,"AREG_UserManual_en_08.pdf#page=188, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:SWUNIT,action,extracted,"AREG_UserManual_en_08.pdf#page=189, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=505, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:OSETUP:TBASE,action,extracted,"AREG_UserManual_en_08.pdf#page=191, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:RADAR:LSENSITIVITY,action,extracted,"AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:RADAR:POWER:INDICATOR?,query,extracted,"AREG_UserManual_en_08.pdf#page=115, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=468, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:SCENARIO:FILE,action,extracted,"AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:SCENARIO:FILE:CATALOG,action,extracted,"AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:SCENARIO:PAUSE,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=582"
:AREGENERATOR:SCENARIO:POSITION:ACTUAL,action,extracted,"AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:POSITION:START,action,extracted,"AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:POSITION:STOP,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:PROGRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:PROGRESS?,query,extracted,AREG_UserManual_en_08.pdf#page=459
:AREGENERATOR:SCENARIO:REPLAY,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:REPLAY:LOOP,action,extracted,AREG_UserManual_en_08.pdf#page=459
:AREGENERATOR:SCENARIO:RESET,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=460, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:START,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=460, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:STATUS,action,extracted,"AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=460, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SCENARIO:STOP,action,extracted,"AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=460, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SENSOR,action,extracted,"AREG_UserManual_en_08.pdf#page=155, AREG_UserManual_en_08.pdf#page=156, AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:CABLECORR:CONNECTOR,action,extracted,"AREG_UserManual_en_08.pdf#page=153, AREG_UserManual_en_08.pdf#page=154, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=488, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:CONNECT,action,extracted,"AREG_UserManual_en_08.pdf#page=168, AREG_UserManual_en_08.pdf#page=498, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:HOSTNAME,action,extracted,"AREG_UserManual_en_08.pdf#page=168, AREG_UserManual_en_08.pdf#page=498, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:MAPPING,action,extracted,"AREG_UserManual_en_08.pdf#page=165, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:RELAYS:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=162, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:RX,action,extracted,"AREG_UserManual_en_08.pdf#page=162, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:STATUS?,query,extracted,"AREG_UserManual_en_08.pdf#page=168, AREG_UserManual_en_08.pdf#page=498, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:SWUNIT:TX,action,extracted,"AREG_UserManual_en_08.pdf#page=162, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:ANGLE,action,extracted,"AREG_UserManual_en_08.pdf#page=113, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:C,action,extracted,"AREG_UserManual_en_08.pdf#page=114, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:DOPPLER,action,extracted,"AREG_UserManual_en_08.pdf#page=114, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=456, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:KCONSTANT,action,extracted,"AREG_UserManual_en_08.pdf#page=114, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:RANGE,action,extracted,"AREG_UserManual_en_08.pdf#page=113, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:RCS,action,extracted,"AREG_UserManual_en_08.pdf#page=113, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:SHIFT,action,extracted,"AREG_UserManual_en_08.pdf#page=114, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=456, AREG_UserManual_en_08.pdf#page=583"
:AREGENERATOR:UNITS:SPEED,action,extracted,"AREG_UserManual_en_08.pdf#page=114, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=456, AREG_UserManual_en_08.pdf#page=583"
:ATS,action,extracted,"AREG_UserManual_en_08.pdf#page=137, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=581"
:ATTENUATION,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=582"
:AUTO,action,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=575, AREG_UserManual_en_08.pdf#page=576"
:AUTO:DIRECTORY,action,extracted,"AREG_UserManual_en_08.pdf#page=241, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=575"
:AUTO:DIRECTORY:CLEAR,action,extracted,"AREG_UserManual_en_08.pdf#page=241, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=575"
:AUTO:FILE?,query,extracted,"AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=575"
:AUTO:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=240, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=575"
:AUTO?,query,extracted,"AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=575"
:BB:GRAPHICS:ADD,action,extracted,"AREG_UserManual_en_08.pdf#page=208, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=518, AREG_UserManual_en_08.pdf#page=579"
:BB:GRAPHICS:CLOSE,action,extracted,"AREG_UserManual_en_08.pdf#page=208, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=518, AREG_UserManual_en_08.pdf#page=579"
:BB:GRAPHICS:FFTFSCALE,action,extracted,"AREG_UserManual_en_08.pdf#page=207, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=519, AREG_UserManual_en_08.pdf#page=579"
:BB:GRAPHICS:FFTLEN,action,extracted,"AREG_UserManual_en_08.pdf#page=207, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=518, AREG_UserManual_en_08.pdf#page=579"
:BB:GRAPHICS:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=206, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=583"
:BB:GRAPHICS:SOURCE,action,extracted,"AREG_UserManual_en_08.pdf#page=206, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=518, AREG_UserManual_en_08.pdf#page=579"
:BB:GRAPHICS:SRATE:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=207, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=583"
:BB:GRAPHICS:SRATE:USER,action,extracted,"AREG_UserManual_en_08.pdf#page=208, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=583"
:BB:GRAPHICS:TRIGGER:SOURCE,action,extracted,"AREG_UserManual_en_08.pdf#page=207, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=519, AREG_UserManual_en_08.pdf#page=583"
:BGINFO:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=374, AREG_UserManual_en_08.pdf#page=575"
:BGINFO?,query,extracted,"AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=547, AREG_UserManual_en_08.pdf#page=575"
:BW,action,extracted,"AREG_UserManual_en_08.pdf#page=130, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=140, AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=485, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=583"
:CABLECORR,action,extracted,AREG_UserManual_en_08.pdf#page=581
:CABLECORR:CONNECTOR,action,extracted,"AREG_UserManual_en_08.pdf#page=153, AREG_UserManual_en_08.pdf#page=154, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=488"
:CALIBRATION,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=370, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=555, AREG_UserManual_en_08.pdf#page=575"
:CALIBRATION:ALL,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=575"
:CALIBRATION:DATA:EXPORT,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=575"
:CALIBRATION:DATA:FACTORY:DATE?,query,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=547, AREG_UserManual_en_08.pdf#page=575"
:CALIBRATION:DELAY,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=372, AREG_UserManual_en_08.pdf#page=555, AREG_UserManual_en_08.pdf#page=575"
:CALIBRATION:DELAY:MINUTES,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=372, AREG_UserManual_en_08.pdf#page=556, AREG_UserManual_en_08.pdf#page=575"
:CALIBRATION:DELAY:SHUTDOWN,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=372, AREG_UserManual_en_08.pdf#page=556, AREG_UserManual_en_08.pdf#page=575"
:CENTER,action,extracted,"AREG_UserManual_en_08.pdf#page=130, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=140, AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=583"
:CFACTOR,action,extracted,"AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=583"
:CHANNELS?,query,extracted,"AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=580"
:COMMON,action,extracted,"AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=300, AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=419, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=438, AREG_UserManual_en_08.pdf#page=439, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=578"
:CONFIG?,query,extracted,"AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=583"
:CONNECT,action,extracted,"AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=581"
:CONNECTION,action,extracted,AREG_UserManual_en_08.pdf#page=582
:CONTINUEONERROR,action,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=555, AREG_UserManual_en_08.pdf#page=575"
:CONTINUOUS,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=525, AREG_UserManual_en_08.pdf#page=576"
:CORRECTION:SPDEVICE:LIST?,query,extracted,"AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=576"
:CORRECTION:SPDEVICE:SELECT,action,extracted,"AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=576"
:CORRECTION:SPDEVICE:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=576"
:COUNT?,query,extracted,"AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=583"
:CW,action,extracted,"AREG_UserManual_en_08.pdf#page=225, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=444, AREG_UserManual_en_08.pdf#page=583"
:DATA,action,extracted,"AREG_UserManual_en_08.pdf#page=388, AREG_UserManual_en_08.pdf#page=575"
:DAY:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=242, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=575"
:DEVICE,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=576"
:DEVICE:PRESET,action,extracted,"AREG_UserManual_en_08.pdf#page=367, AREG_UserManual_en_08.pdf#page=368, AREG_UserManual_en_08.pdf#page=575"
